Country,Year,Population,GDP (US$),gdp_cap,Renewable Capacity,Oil Capacity,RC/cap (Watt),Continent
New Zealand,2001,3880500,53872425917,13882.85683,453,101,116.7375338,Oceania
Nicaragua,2001,5145367,5323146566,1034.551387,26,0,5.053089508,NAM
Nigeria,2001,125394046,74030364472,590.381815,0,445,0,Africa
Norway,2001,4513751,1.73972E+11,38542.7151,13,307,2.88008798,Europe
Oman,2001,2294959,19452000520,8475.968643,0,82,0,Asia
Pakistan,2001,145978408,79484403985,544.4942514,0,226.5271233,0,Asia
Papua New Guinea,2001,5974627,3081024212,515.6847804,0,0,0,Oceania
Peru,2001,26799289,52030158775,1941.475342,0,198,0,SAM
Philippines,2001,79672869,78921234457,990.5659913,1846.5,398,23.17601993,Asia
Poland,2001,38248076,1.90905E+11,4991.244358,19,386,0.496757013,Europe
Portugal,2001,10362722,1.21499E+11,11724.6115,140,306,13.50996389,Europe
Qatar,2001,615013,17538461538,28517.22084,0,62,0,Asia
Romania,2001,22131970,40394824679,1825.179805,0,461,0,Europe
Russia,2001,145976482,3.06602E+11,2100.352512,24,5481,0.164410045,Asia
Saudi Arabia,2001,21202646,1.84137E+11,8684.645762,0,1805,0,Asia
Singapore,2001,4138012,89794943350,21700.02005,0,1365,0,Asia
Slovakia,2001,5378867,30752150336,5717.21709,0,122,0,Europe
South Africa,2001,45571272,1.3543E+11,2971.819769,0,486,0,Africa
Spain,2001,40850412,6.27287E+11,15355.70317,3410,1330,83.47529029,Europe
Sweden,2001,8895960,2.42396E+11,27247.85773,298,454,33.49835206,Europe
Switzerland,2001,7229854,2.87227E+11,39727.84667,18,132,2.489676832,Europe
Thailand,2001,63539190,1.20296E+11,1893.264239,0,1063.5,0,Asia
Trinidad and Tobago,2001,1271627,8824873259,6939.828471,0,165,0,NAM
Tunisia,2001,9793915,22066031834,2253.034852,10,0,1.021042147,Africa
Turkey,2001,64192243,2.01751E+11,3142.920998,37.3,713,0.581067092,Europe
Turkmenistan,2001,4564087,3534803922,774.482152,0,251.0273973,0,Asia
Ukraine,2001,48662400,39309580983,807.8019371,36.2,891,0.743900835,Europe
United Arab Emirates,2001,3302722,1.03312E+11,31280.75586,0,674,0,Asia
United Kingdom,2001,59119673,1.64391E+12,27806.44882,496,1769,8.389762237,Europe
United States,2001,284968955,1.05818E+13,37133.24281,6101.9,16755,21.4125079,NAM
Uruguay,2001,3325471,20898788417,6284.45968,0,0,0,SAM
